,Date,Value
698,2023-12-11,67.2857
699,2023-12-12,67.8857
700,2023-12-13,67.5429
701,2023-12-14,70.5429
702,2023-12-15,80.0000
703,2023-12-18,77.5714
704,2023-12-19,77.2857
705,2023-12-20,71.2571
706,2023-12-21,76.9429
707,2023-12-22,78.4571
708,2023-12-26,80.0286
709,2023-12-27,76.6857
710,2023-12-28,78.2571
711,2023-12-29,75.9143
712,2024-01-02,77.0857
713,2024-01-03,75.2857
714,2024-01-04,73.2000
715,2024-01-05,70.8286
716,2024-01-08,61.3714
717,2024-01-09,71.5714
718,2024-01-10,74.3714
719,2024-01-11,71.4571
720,2024-01-12,71.1143
721,2024-01-16,63.2555
722,2024-01-17,61.4286
723,2024-01-18,69.2000
724,2024-01-19,70.8571
725,2024-01-22,71.4286
726,2024-01-23,72.7143
727,2024-01-24,76.2571
728,2024-01-25,77.0857
729,2024-01-26,76.4000
730,2024-01-29,77.7429
731,2024-01-30,76.6857
732,2024-01-31,66.3784
733,2024-02-01,62.7526
734,2024-02-02,72.4314
735,2024-02-05,75.0571
736,2024-02-06,75.1714
737,2024-02-07,77.5429
738,2024-02-08,78.5714
739,2024-02-09,79.7143
740,2024-02-12,74.6105
741,2024-02-13,73.4458
742,2024-02-14,76.4571
743,2024-02-15,79.1143
744,2024-02-16,70.9796
745,2024-02-20,66.1639
746,2024-02-21,75.5714
747,2024-02-22,78.8571
748,2024-02-23,77.5143
749,2024-02-26,75.9143
